Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
11,17	-0,723
11,18	-0,704
11,19	-0,679
11,2	-0,652
11,21	-0,624
11,22	-0,593
11,23	-0,559
11,24	-0,526
11,25	-0,494
11,26	-0,462
11,27	-0,426
11,28	-0,385
11,29	-0,342
11,3	-0,296
11,31	-0,249
11,32	-0,197
11,33	-0,139
11,34	-0,078
11,35	-0,019
11,36	0,031
11,37	0,071
11,38	0,107
11,39	0,154
11,4	0,219
11,41	0,284
11,42	0,331
11,43	0,369
11,44	0,419
11,45	0,487
11,46	0,564
11,47	0,636
11,48	0,686
11,49	0,714
11,5	0,735
11,51	0,764
11,52	0,801
11,53	0,839
11,54	0,869
11,55	0,892
11,56	0,912
11,57	0,937
11,58	0,969
11,59	1,013
11,6	1,068
11,61	1,131
11,62	1,195
11,63	1,247
11,64	1,283
11,65	1,306
11,66	1,323
11,67	1,341
11,68	1,362
11,69	1,386
11,7	1,411
11,71	1,433
11,72	1,448
11,73	1,455
11,74	1,455
11,75	1,450
11,76	1,446
11,77	1,446
11,78	1,454
11,79	1,470
11,8	1,489
11,81	1,502
11,82	1,510
11,83	1,514
11,84	1,516
11,85	1,513
11,86	1,500
11,87	1,482
11,88	1,471
11,89	1,481
11,9	1,500
11,91	1,504
11,92	1,485
11,93	1,464
11,94	1,462
11,95	1,471
11,96	1,471
11,97	1,456
11,98	1,438
11,99	1,431
12,0	1,446
12,01	1,480
12,02	1,520
12,03	1,554
12,04	1,574
12,05	1,573
12,06	1,556
12,07	1,532
12,08	1,514
12,09	1,512
12,1	1,524
12,11	1,536
12,12	1,541
12,13	1,542
12,14	1,556
12,15	1,590
12,16	1,632
12,17	1,668
12,18	1,698
12,19	1,724
12,2	1,751
12,21	1,773
12,22	1,789
12,23	1,803
12,24	1,817
12,25	1,833
12,26	1,848
12,27	1,862
12,28	1,876
12,29	1,892
12,3	1,908
12,31	1,922
12,32	1,931
12,33	1,938
12,34	1,941
12,35	1,939
12,36	1,926
12,37	1,907
12,38	1,884
12,39	1,857
12,4	1,810
12,41	1,737
12,42	1,655
12,43	1,595
12,44	1,566
12,45	1,539
12,46	1,491
12,47	1,428
12,48	1,359
12,49	1,293
12,5	1,226
12,51	1,146
12,52	1,055
12,53	0,961
12,54	0,876
12,55	0,804
12,56	0,742
12,57	0,687
12,58	0,638
12,59	0,589
12,6	0,538
12,61	0,480
12,62	0,414
12,63	0,346
12,64	0,283
12,65	0,226
12,66	0,169
12,67	0,113
12,68	0,057
12,69	0,004
12,7	-0,049
12,71	-0,104
12,72	-0,158
12,73	-0,208
12,74	-0,254
12,75	-0,295
12,76	-0,334
12,77	-0,374
12,78	-0,416
12,79	-0,459
12,8	-0,501
12,81	-0,540
12,82	-0,573
12,83	-0,603
12,84	-0,635
12,85	-0,671
12,86	-0,709
12,87	-0,740
12,88	-0,758
