Interval=	0,01 s
ExcelDateTime=	4,1975584149664355e+004	02.12.2014 14:01:10,531
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 2
Range=	20,000 mV
9,47	3,586
9,48	3,667
9,49	3,633
9,5	3,498
9,51	3,414
9,52	3,515
9,53	3,691
9,54	3,800
9,55	3,805
9,56	3,766
9,57	3,753
9,58	3,786
9,59	3,861
9,6	3,943
9,61	3,973
9,62	3,953
9,63	3,997
9,64	4,032
9,65	3,941
9,66	3,829
9,67	3,807
9,68	3,885
9,69	3,982
9,7	3,980
9,71	3,862
9,72	3,724
9,73	3,661
9,74	3,700
9,75	3,814
9,76	3,852
9,77	3,746
9,78	3,641
9,79	3,653
9,8	3,883
9,81	4,472
9,82	5,544
9,83	6,994
9,84	8,424
9,85	9,428
9,86	9,722
9,87	9,202
9,88	8,072
9,89	6,722
9,9	5,427
9,91	4,324
9,92	3,441
9,93	2,700
9,94	2,131
9,95	1,918
9,96	2,053
9,97	2,303
9,98	2,549
9,99	2,826
10,0	3,086
10,01	3,268
10,02	3,373
10,03	3,356
10,04	3,216
10,05	3,059
10,06	3,029
10,07	3,169
10,08	3,449
10,09	3,777
10,1	3,960
10,11	3,953
10,12	3,883
10,13	3,861
10,14	3,939
10,15	4,047
10,16	4,058
10,17	3,966
10,18	3,859
10,19	3,759
10,2	3,636
10,21	3,481
10,22	3,311
10,23	3,223
10,24	3,289
10,25	3,469
10,26	3,618
10,27	3,596
10,28	3,474
10,29	3,436
10,3	3,526
10,31	3,641
10,32	3,651
10,33	3,618
10,34	3,659
10,35	3,732
10,36	3,801
10,37	3,857
10,38	3,886
10,39	3,876
10,4	3,841
10,41	3,837
10,42	3,914
10,43	3,996
10,44	3,966
10,45	3,878
10,46	3,823
10,47	3,859
10,48	3,946
10,49	3,995
10,5	3,979
10,51	3,845
10,52	3,657
10,53	3,609
10,54	3,686
10,55	3,685
10,56	3,579
10,57	3,530
10,58	3,642
10,59	3,937
10,6	4,579
10,61	5,767
10,62	7,286
10,63	8,659
10,64	9,479
10,65	9,512
10,66	8,858
10,67	7,812
10,68	6,586
10,69	5,306
10,7	4,087
10,71	3,052
10,72	2,313
10,73	1,919
10,74	1,816
10,75	1,937
10,76	2,243
10,77	2,605
10,78	2,871
10,79	3,043
10,8	3,190
10,81	3,297
10,82	3,269
10,83	3,180
10,84	3,188
10,85	3,273
10,86	3,350
10,87	3,434
10,88	3,587
10,89	3,760
10,9	3,856
10,91	3,858
10,92	3,802
10,93	3,773
10,94	3,840
10,95	3,938
10,96	3,904
10,97	3,738
10,98	3,593
10,99	3,524
11,0	3,519
11,01	3,492
11,02	3,363
11,03	3,266
11,04	3,349
11,05	3,465
11,06	3,454
11,07	3,399
11,08	3,392
11,09	3,444
11,1	3,536
11,11	3,640
11,12	3,709
11,13	3,723
11,14	3,726
11,15	3,756
11,16	3,785
11,17	3,736
11,18	3,691
11,19	3,786
11,2	3,954
11,21	4,019
11,22	3,924
11,23	3,797
11,24	3,749
11,25	3,796
11,26	3,846
11,27	3,793
11,28	3,669
11,29	3,554
11,3	3,509
11,31	3,527
11,32	3,627
11,33	3,961
11,34	4,789
11,35	6,201
11,36	7,789
11,37	8,906
11,38	9,266
11,39	8,991
11,4	8,277
11,41	7,291
11,42	6,112
11,43	4,869
11,44	3,751
11,45	2,848
11,46	2,255
11,47	1,972
11,48	1,933
11,49	2,124
11,5	2,466
11,51	2,773
11,52	2,962
11,53	3,127
11,54	3,274
11,55	3,295
11,56	3,180
11,57	3,051
11,58	3,006
11,59	3,014
11,6	3,064
11,61	3,192
11,62	3,414
11,63	3,667
11,64	3,804
11,65	3,814
11,66	3,781
11,67	3,777
11,68	3,804
11,69	3,791
11,7	3,737
11,71	3,648
11,72	3,519
11,73	3,397
11,74	3,373
11,75	3,443
11,76	3,419
11,77	3,268
11,78	3,183
11,79	3,292
11,8	3,496
11,81	3,580
11,82	3,517
11,83	3,433
11,84	3,415
11,85	3,511
11,86	3,706
11,87	3,840
11,88	3,776
11,89	3,619
11,9	3,556
11,91	3,625
11,92	3,749
11,93	3,849
11,94	3,887
11,95	3,850
11,96	3,806
11,97	3,796
11,98	3,701
11,99	3,526
12,0	3,450
12,01	3,536
12,02	3,683
12,03	3,780
12,04	3,756
12,05	3,597
12,06	3,488
12,07	3,726
12,08	4,515
12,09	5,833
12,1	7,362
12,11	8,638
12,12	9,311
12,13	9,190
12,14	8,373
12,15	7,231
12,16	6,053
12,17	4,931
12,18	3,903
12,19	3,055
12,2	2,469
12,21	2,129
12,22	1,973
12,23	1,993
12,24	2,184
12,25	2,489
12,26	2,872
12,27	3,229
12,28	3,373
12,29	3,292
12,3	3,093
12,31	2,855
12,32	2,732
12,33	2,806
12,34	2,998
12,35	3,216
12,36	3,446
12,37	3,686
12,38	3,922
12,39	4,116
12,4	4,123
12,41	3,917
12,42	3,678
12,43	3,560
12,44	3,526
12,45	3,493
12,46	3,478
12,47	3,460
12,48	3,433
12,49	3,389
12,5	3,301
12,51	3,208
12,52	3,167
12,53	3,177
12,54	3,183
12,55	3,219
12,56	3,334
12,57	3,465
12,58	3,573
12,59	3,675
12,6	3,694
12,61	3,609
12,62	3,564
12,63	3,639
12,64	3,784
12,65	3,866
12,66	3,806
12,67	3,713
12,68	3,698
12,69	3,684
12,7	3,656
12,71	3,698
12,72	3,738
12,73	3,691
12,74	3,611
12,75	3,545
12,76	3,496
12,77	3,508
12,78	3,599
12,79	3,688
12,8	3,665
12,81	3,564
12,82	3,564
12,83	3,806
12,84	4,402
12,85	5,501
12,86	6,975
12,87	8,367
12,88	9,189
12,89	9,188
12,9	8,443
12,91	7,283
12,92	6,048
12,93	4,896
12,94	3,861
12,95	2,976
12,96	2,309
12,97	1,955
12,98	1,896
12,99	1,976
13,0	2,132
13,01	2,391
13,02	2,754
13,03	3,110
13,04	3,284
13,05	3,206
13,06	2,967
13,07	2,748
13,08	2,706
13,09	2,888
13,1	3,189
13,11	3,453
13,12	3,645
13,13	3,771
13,14	3,858
13,15	3,906
13,16	3,866
13,17	3,790
13,18	3,732
13,19	3,676
13,2	3,627
13,21	3,571
13,22	3,459
13,23	3,309
13,24	3,227
13,25	3,237
13,26	3,247
13,27	3,227
13,28	3,251
13,29	3,324
13,3	3,385
13,31	3,438
13,32	3,454
13,33	3,422
13,34	3,399
13,35	3,411
13,36	3,452
13,37	3,539
13,38	3,674
13,39	3,761
13,4	3,717
13,41	3,606
13,42	3,567
13,43	3,627
13,44	3,678
13,45	3,693
13,46	3,729
13,47	3,819
13,48	3,749
13,49	3,508
13,5	3,615
13,51	3,898
13,52	3,787
13,53	3,456
13,54	3,244
13,55	3,274
13,56	3,511
13,57	3,698
13,58	3,651
13,59	3,578
13,6	3,839
13,61	4,685
13,62	6,046
13,63	7,469
13,64	8,466
13,65	8,905
13,66	8,821
13,67	8,249
13,68	7,298
13,69	6,061
13,7	4,671
13,71	3,385
13,72	2,466
13,73	1,983
13,74	1,846
13,75	1,879
13,76	1,943
13,77	2,085
13,78	2,421
13,79	2,839
13,8	3,079
13,81	3,076
13,82	2,954
13,83	2,847
13,84	2,839
13,85	2,940
13,86	3,118
13,87	3,340
13,88	3,550
13,89	3,688
13,9	3,715
13,91	3,648
13,92	3,626
13,93	3,696
13,94	3,736
13,95	3,701
13,96	3,652
13,97	3,597
13,98	3,514
13,99	3,403
14,0	3,289
14,01	3,250
14,02	3,296
14,03	3,347
14,04	3,352
14,05	3,309
14,06	3,245
14,07	3,204
14,08	3,192
14,09	3,215
14,1	3,280
14,11	3,334
14,12	3,387
14,13	3,458
14,14	3,514
14,15	3,579
14,16	3,668
14,17	3,685
14,18	3,623
14,19	3,595
14,2	3,660
14,21	3,739
14,22	3,711
14,23	3,607
14,24	3,527
14,25	3,484
14,26	3,458
14,27	3,454
14,28	3,519
14,29	3,633
14,3	3,627
14,31	3,481
14,32	3,379
14,33	3,491
14,34	4,022
14,35	5,154
14,36	6,684
14,37	8,051
14,38	8,884
14,39	9,027
14,4	8,474
14,41	7,489
14,42	6,306
14,43	5,048
14,44	3,908
14,45	3,030
14,46	2,365
14,47	1,897
14,48	1,728
14,49	1,806
14,5	1,986
14,51	2,284
14,52	2,714
14,53	3,100
14,54	3,239
14,55	3,111
14,56	2,910
14,57	2,772
14,58	2,711
14,59	2,769
14,6	2,926
14,61	3,087
14,62	3,260
14,63	3,486
14,64	3,652
14,65	3,644
14,66	3,577
14,67	3,598
14,68	3,648
14,69	3,612
14,7	3,512
14,71	3,451
14,72	3,450
14,73	3,441
14,74	3,384
14,75	3,313
14,76	3,246
14,77	3,199
14,78	3,162
14,79	3,134
14,8	3,138
14,81	3,164
14,82	3,222
14,83	3,291
14,84	3,356
14,85	3,434
14,86	3,509
14,87	3,526
14,88	3,476
14,89	3,465
14,9	3,543
14,91	3,579
14,92	3,521
14,93	3,481
14,94	3,492
14,95	3,499
14,96	3,499
14,97	3,478
14,98	3,441
14,99	3,412
15,0	3,429
15,01	3,483
15,02	3,476
15,03	3,379
15,04	3,294
15,05	3,409
15,06	3,959
15,07	5,060
15,08	6,466
15,09	7,690
15,1	8,453
15,11	8,708
15,12	8,403
15,13	7,583
15,14	6,464
15,15	5,293
15,16	4,176
15,17	3,181
15,18	2,409
15,19	1,914
15,2	1,724
15,21	1,819
15,22	2,039
15,23	2,246
15,24	2,458
15,25	2,727
15,26	2,993
15,27	3,093
15,28	2,983
15,29	2,800
15,3	2,663
15,31	2,661
15,32	2,847
15,33	3,150
15,34	3,425
15,35	3,572
15,36	3,619
15,37	3,641
15,38	3,680
15,39	3,706
15,4	3,658
15,41	3,547
15,42	3,441
15,43	3,454
15,44	3,551
15,45	3,558
15,46	3,399
15,47	3,131
15,48	2,924
15,49	2,890
15,5	2,966
15,51	3,103
15,52	3,283
15,53	3,411
15,54	3,380
15,55	3,278
15,56	3,243
15,57	3,237
15,58	3,232
15,59	3,268
15,6	3,339
15,61	3,447
15,62	3,586
15,63	3,666
15,64	3,649
15,65	3,611
15,66	3,569
